line,model,anomaly,num_of_results,search_strategy,reason
149929,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 100
Explanation: The mode of h-bridge is zero, which is outside the normal operating range where it was five."
149930,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149931,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149932,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149933,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149934,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149935,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149936,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149937,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149938,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149939,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149940,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149941,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149942,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149943,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149944,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149945,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149946,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149947,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149948,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149949,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149950,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149951,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149952,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149953,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149954,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149955,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149956,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149957,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149958,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149959,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149960,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149961,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149962,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149963,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149964,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149965,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149966,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149967,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149968,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149969,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149970,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149971,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
149972,llama3.1:8b,True,10,similarity,"Anomaly: yes
Anomaly-Rating: 80
Explanation: The rotation speed of electric motor (5) is within a reasonable range, but the mode of h-bridge (0) is outside the given context (mode of h-bridge is five)."
